t,replicate,V,V_Camostat,V_AmphoB,V_tot,V_tot_Camostat,V_tot_AmphoB,V_Camostat_AmphoB,V_tot_Camostat_AmphoB
24,1,2.00E+03,0.00E+00,9.50E+04,1180000,33900,14800000,0.00E+00,52900
24,2,2.50E+03,0.00E+00,1.00E+04,1310000,36300,2850000,0.00E+00,78600
24,3,6.00E+04,0.00E+00,6.50E+04,10200000,32800,21700000,0.00E+00,41600
48,1,50000000,0.00E+00,55000000,6070000000,58800,56900000000,0.00E+00,80500
48,2,45000000,0.00E+00,75000000,7150000000,81900,27400000000,50,221000
48,3,85000000,0.00E+00,90000000,34900000000,52000,55000000000,0.00E+00,58100
72,1,110000000,0.00E+00,90000000,227000000000,82600,425000000000,750,106000
72,2,90000000,0.00E+00,85000000,181000000000,74200,271000000000,0.00E+00,1790000
72,3,105000000,0.00E+00,100000000,385000000000,63000,484000000000,0.00E+00,124000
-1,1,5.00E+02,5.00E+02,5.00E+02,24700000,24700000,24700000,5.00E+02,24700000
-1,2,5.00E+02,5.00E+02,5.00E+02,24700000,24700000,24700000,5.00E+02,24700000
-1,3,5.00E+02,5.00E+02,5.00E+02,24700000,24700000,24700000,5.00E+02,24700000
0,1,NA,NA,NA,19500,28900,34500,NA,33200
0,2,NA,NA,NA,8820,25000,75000,NA,34800
0,3,NA,NA,NA,51100,14000,83100,NA,35400
18,1,1.00E+03,0.00E+00,1.50E+04,329000,20800,3500000,0.00E+00,45100
18,2,1.05E+03,0.00E+00,2.50E+03,235000,29200,842000,0.00E+00,39200
18,3,1.00E+04,0.00E+00,1.50E+04,1130000,49900,3010000,0.00E+00,43300
